ID,Name,Parameter,Language,Frequency,Confidence,References
lat,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Latvian,,,Mathiassen 1997
lav,Subject affixes on verb,Expression of Pronominal Subjects,Lavukaleve,,,Terrill 1999
leg,Subject affixes on verb,Expression of Pronominal Subjects,Lega,,,Meeussen 1971
lel,Subject pronouns in different position,Expression of Pronominal Subjects,Lele,,,Frajzyngier 2001
llm,Subject affixes on verb,Expression of Pronominal Subjects,Lelemi,,,Höftmann 1971
len,Subject affixes on verb,Expression of Pronominal Subjects,Lenakel,,,Lynch 1978
lep,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Lepcha,,,Mainwaring 1876
let,Subject affixes on verb,Expression of Pronominal Subjects,Leti,,,van Engelenhoven 1995
lez,Optional pronouns in subject position,Expression of Pronominal Subjects,Lezgian,,,Haspelmath 1993
lil,Subject affixes on verb,Expression of Pronominal Subjects,Lillooet,,,van Eijk 1997
lim,Subject affixes on verb,Expression of Pronominal Subjects,Limbu,,,van Driem 1987;Weidert and Subba 1985
lml,Subject affixes on verb,Expression of Pronominal Subjects,Limilngan,,,Harvey 2001
lin,Subject affixes on verb,Expression of Pronominal Subjects,Lingala,,,Meeuwis 1998
lit,Subject affixes on verb,Expression of Pronominal Subjects,Lithuanian,,,Ambrazas 1997
ldo,Subject affixes on verb,Expression of Pronominal Subjects,Londo,,,Kuperus 1985
lgu,Subject pronouns in different position,Expression of Pronominal Subjects,Longgu,,,Hill 2002
lon,Subject pronouns in different position,Expression of Pronominal Subjects,Loniu,,,Hamel 1985
lou,Subject pronouns in different position,Expression of Pronominal Subjects,Lou,,,Stutzman 1997
luc,Subject affixes on verb,Expression of Pronominal Subjects,Lucazi,,,Fleisch 2001
lda,Subject affixes on verb,Expression of Pronominal Subjects,Luganda,,,Ashton et al. 1954
lul,Subject affixes on verb,Expression of Pronominal Subjects,Lule,,,Adelaar 2004
lbu,Subject affixes on verb,Expression of Pronominal Subjects,Lunda,,,Kawasha 2003
luo,Subject affixes on verb,Expression of Pronominal Subjects,Luo,,,Omondi 1982
kkv,Subject affixes on verb,Expression of Pronominal Subjects,Lusi,,,Counts 1969
luv,Subject affixes on verb,Expression of Pronominal Subjects,Luvale,,,Horton 1949
luy,Subject affixes on verb,Expression of Pronominal Subjects,Luyia,,,Appleby 1961
maa,Subject affixes on verb,Expression of Pronominal Subjects,Maasai,,,Tucker and Mpaayei 1955
mab,Subject affixes on verb,Expression of Pronominal Subjects,Maba,,,Trenga 1947
mac,Subject affixes on verb,Expression of Pronominal Subjects,Macushi,,,Carson 1982;Abbott 1991
mad,Subject pronouns in different position,Expression of Pronominal Subjects,Ma'di,,,Tucker and Bryan 1966;Tucker 1967
mae,Subject pronouns in different position,Expression of Pronominal Subjects,Mae,,,Capell 1962a
mne,Subject affixes on verb,Expression of Pronominal Subjects,Maidu (Northeast),,,Shipley 1964
mpr,Subject affixes on verb,Expression of Pronominal Subjects,Maipure,,,Zamponi 2003a
maj,Subject affixes on verb,Expression of Pronominal Subjects,Majang,,,Unseth 1989
mak,Subject clitics on variable host,Expression of Pronominal Subjects,Makah,,,
mkd,Subject affixes on verb,Expression of Pronominal Subjects,Makonde,,,Harries 1940
mua,Subject affixes on verb,Expression of Pronominal Subjects,Makua,,,Woodward 1926
mal,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Malagasy,,,Domenichini-Ramiaramanana 1977
mym,Optional pronouns in subject position,Expression of Pronominal Subjects,Malayalam,,,Asher and Kumari 1997
mlu,Subject affixes on verb,Expression of Pronominal Subjects,Maleu,,,Haywood 1996
mlg,Mixed,Expression of Pronominal Subjects,Malgwa,,,Löhr 2002
mmw,Subject affixes on verb,Expression of Pronominal Subjects,Mambwe,,,London Missionary Society 1962
mnm,Subject affixes on verb,Expression of Pronominal Subjects,Manam,,,Lichtenberk 1983;Gregersen 1976
mdn,Subject affixes on verb,Expression of Pronominal Subjects,Mandan,,,Kennard 1936
mnd,Optional pronouns in subject position,Expression of Pronominal Subjects,Mandarin,,,Li and Thompson 1981
myi,Subject affixes on verb,Expression of Pronominal Subjects,Mangarrayi,,,Merlan 1982
mbt,Subject affixes on verb,Expression of Pronominal Subjects,Mangbetu,,,Tucker and Bryan 1966
mgg,Optional pronouns in subject position,Expression of Pronominal Subjects,Mangghuer,,,Slater 2003
mwb,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Manobo (Western Bukidnon),,,Elkins 1970
mns,Subject affixes on verb,Expression of Pronominal Subjects,Mansi,,,Murphy 1968
mao,Optional pronouns in subject position,Expression of Pronominal Subjects,Maori,,,Bauer 1993
map,Subject affixes on verb,Expression of Pronominal Subjects,Mapudungun,,,Augusta 1903
mra,Subject affixes on verb,Expression of Pronominal Subjects,Mara,,,Heath 1981
mku,Subject affixes on verb,Expression of Pronominal Subjects,Maranungku,,,Tryon 1970b
mny,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Margany,,,Breen 1981a
mar,Subject affixes on verb,Expression of Pronominal Subjects,Maricopa,,,Gordon 1986
mme,Subject affixes on verb,Expression of Pronominal Subjects,Mari (Meadow),,,Sebeok and Ingemann 1961;Kangasmaa-Minn 1998
mrt,Optional pronouns in subject position,Expression of Pronominal Subjects,Martuthunira,,,Dench 1995
mas,Optional pronouns in subject position,Expression of Pronominal Subjects,Masa,,,Caitucoli 1986
msl,Subject affixes on verb,Expression of Pronominal Subjects,Masalit,,,Edgar 1989
mtb,Subject affixes on verb,Expression of Pronominal Subjects,Matuumbi,,,Odden 1996
mka,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Mauka,,,Ebermann 1986a
mau,Subject affixes on verb,Expression of Pronominal Subjects,Maung,,,Capell and Hinch 1970
may,Optional pronouns in subject position,Expression of Pronominal Subjects,Maybrat,,,Brown 1990
mzh,Subject affixes on verb,Expression of Pronominal Subjects,Mazatec (Huautla),,,Pike 1967
mhu,Subject pronouns in different position,Expression of Pronominal Subjects,Mbalanhu,,,Fourie 1993
mbr,Subject pronouns in different position,Expression of Pronominal Subjects,Mbara,,,Tourneux et al. 1986
mby,Subject affixes on verb,Expression of Pronominal Subjects,Mbay,,,Fortier 1971
mbl,Subject affixes on verb,Expression of Pronominal Subjects,Mbole,,,De Rop 1971
mee,Subject affixes on verb,Expression of Pronominal Subjects,Me'en,,,Will 1989
meh,Subject affixes on verb,Expression of Pronominal Subjects,Mehri,,,Simeone-Senelle 1997
mei,Optional pronouns in subject position,Expression of Pronominal Subjects,Meithei,,,Chelliah 1997
mek,Mixed,Expression of Pronominal Subjects,Mekens,,,Galucio 2001
men,Subject clitics on variable host,Expression of Pronominal Subjects,Menomini,,,Bloomfield 1962
mea,Subject affixes on verb,Expression of Pronominal Subjects,Meyah,,,Gravelle 2004;Gravelle 2002
mpt,Subject affixes on verb,Expression of Pronominal Subjects,Mian,,,Fedden 2007
mki,Subject affixes on verb,Expression of Pronominal Subjects,Mikasuki,,,Boynton 1982
min,Optional pronouns in subject position,Expression of Pronominal Subjects,Minangkabau,,,Moussay 1981
mir,Subject affixes on verb,Expression of Pronominal Subjects,Miriwung,,,Kofod 1978
mss,Subject affixes on verb,Expression of Pronominal Subjects,Miwok (Southern Sierra),,,Broadbent 1964
mxc,Mixed,Expression of Pronominal Subjects,Mixtec (Chalcatongo),,,Macaulay 1996
miy,Subject pronouns in different position,Expression of Pronominal Subjects,Miya,,,Schuh 1998
